rule,set,audio_file,true_label,predicted_label,error_type
package_argmax,random_val,c50b85f7-9744-4ec9-ab20-983140bf500d.wav,19,0,known_to_unknown
package_argmax,random_val,9795633f-44db-4f7d-93c6-31a569c7565f.wav,0,376,unknown_to_known
package_argmax,random_val,aef9288d-80b8-4bfd-bb8a-6726e452af17.wav,255,0,known_to_unknown
package_argmax,random_val,56f49531-2241-47e7-9021-886f4ab6fd10.wav,420,0,known_to_unknown
package_argmax,random_val,b2afa3fe-5632-4abe-a784-b6e590bcd81f.wav,292,0,known_to_unknown
package_argmax,random_val,7d5601d3-ce4a-4700-91d7-08c16040efa7.wav,363,0,known_to_unknown
package_argmax,random_val,85f1b526-73e9-48f3-939b-1c1ea654774e.wav,300,0,known_to_unknown
package_argmax,random_val,cad496f3-947c-466b-929d-a8c3bc1a25c9.wav,367,0,known_to_unknown
package_argmax,random_val,9046fd84-09ce-4a19-a28a-614c69e36aee.wav,383,0,known_to_unknown
package_argmax,random_val,0e928e78-2edb-4547-818d-f5fdd53029de.wav,288,0,known_to_unknown
package_argmax,random_val,d1164c59-943c-4548-a0a3-8a24042945ab.wav,377,0,known_to_unknown
package_argmax,random_val,d7b90e9e-4709-4fd6-b760-1b1783fe9cec.wav,203,0,known_to_unknown
package_argmax,random_val,1c0ef815-e536-4e79-bb55-982945a7c584.wav,360,0,known_to_unknown
package_argmax,hard,8f625563-521a-4d2a-9400-2e795efe38f4.wav,12,0,known_to_unknown
package_argmax,hard,169ff386-567d-45cd-b347-3e90a9b24499.wav,19,0,known_to_unknown
package_argmax,hard,797d80a1-63c2-4ccc-ad8b-16e03a8c796c.wav,31,0,known_to_unknown
package_argmax,hard,c376360f-4903-422b-bb00-d4baadeed13c.wav,45,0,known_to_unknown
package_argmax,hard,916b4297-3464-4596-b01b-1b96e849266e.wav,51,0,known_to_unknown
package_argmax,hard,e0a6fa6f-2ff5-4081-a5d5-e59bd31af27a.wav,76,0,known_to_unknown
package_argmax,hard,2e82e383-fbe1-4539-ad55-2cc62d895e7e.wav,84,0,known_to_unknown
package_argmax,hard,2af1a5ce-6ebb-4c61-ac0d-037248e2cd11.wav,88,0,known_to_unknown
package_argmax,hard,408b018d-780c-4138-a5e0-36b1b0faa308.wav,102,0,known_to_unknown
package_argmax,hard,d5715d86-9d5b-4aaa-82d3-f774678244d0.wav,122,0,known_to_unknown
package_argmax,hard,46e436dc-f785-430c-8d80-5ad742ee9801.wav,124,0,known_to_unknown
package_argmax,hard,515201d5-eeb9-451a-bfad-c9e85d6bdc13.wav,131,0,known_to_unknown
package_argmax,hard,4d8e68bd-b59d-4664-91fd-cd3f9795b358.wav,135,0,known_to_unknown
package_argmax,hard,16e84aaf-93a9-4bd2-84dd-b935f4b110ae.wav,148,0,known_to_unknown
package_argmax,hard,ccf377ad-001e-42f2-a09d-5e4a4dff4f71.wav,191,0,known_to_unknown
package_argmax,hard,8eb97bd1-bd29-47ba-ac04-2f07aa34a833.wav,203,0,known_to_unknown
package_argmax,hard,cb4ce90f-6c4a-4bf6-a9f9-08ece1527014.wav,206,0,known_to_unknown
package_argmax,hard,1a801623-6ae4-4806-9c0c-739ba51f7a80.wav,229,0,known_to_unknown
package_argmax,hard,1f819d1b-9bab-4f8d-8dc9-d467425bdf40.wav,232,0,known_to_unknown
package_argmax,hard,3255d9eb-e78c-427b-8ca3-8343e408ee30.wav,251,0,known_to_unknown
